Sheet number,Sheet name,Sheet title
62,FTS_PGC_ALL_1Y_FURFOE,"Current further study: field of education among postgraduate coursework students and all provider types by further full-time study, 2024"
63,FTS_PGR_ALL_1Y_FURFOE,"Current further study: field of education among postgraduate research students and all provider types by further full-time study, 2024"
64,FTS_ALL_ALL_1Y_FURLEV,"Further full-time study level among all course levels from all provider types by original study level,  2024"
65,FTS_UG_ALL_1Y_BFOE_FURFOE,"Broad field of education among undergraduates and all provider types by further full-time study, 2024"
66,FTS_PGC_ALL_1Y_BFOE_FURFOE,"Broad field of education among postgraduate coursework students and all provider types by further full-time study, 2024"
67,FTS_PGR_ALL_1Y_BFOE_FURFOE,"Broad field of education among postgraduate research students and all provider types by further full-time study, 2024"
68,FTS_UG_ALL_1Y_DG,"Further full-time study among undergraduates from all provider types by demographic group, 2024"
69,FTS_PGC_ALL_1Y_DG,"Further full-time study among postgraduate coursework students from all provider types by demographic group, 2024"
70,FTS_PGR_ALL_1Y_DG,"Further full-time study among postgraduate research students from all provider types by demographic group, 2024"
71,SAT_UG_ALL_2Y,Satisfaction (% agreement) among undergraduates and all provider types by year 2023-2024
72,SAT_PGC_ALL_2Y,Satisfaction (% agreement) among postgraduate coursework students and all provider types by year 2023-2024
73,SAT_PGR_ALL_2Y,Satisfaction (% agreement) among postgraduate research students and all provider types by year 2023-2024
74,SAT_UG_ALL_2Y_AREA,Satisfaction (% agreement) 2023-2024 among undergraduates from all provider types by study area
75,SAT_PGC_ALL_2Y_AREA,Satisfaction (% agreement) 2023-2024 among postgraduate coursework students from all provider types by study area
76,SAT_PGR_ALL_2Y_AREA,Satisfaction (% agreement) 2023-2024 among postgraduate research students from all provider types by study area
77,SAT_UG_ALL_2Y_DG,Satisfaction (% agreement) 2023-2024 among undergraduates from all provider types by demographic group
78,SAT_PGC_ALL_2Y_DG,Satisfaction (% agreement) 2023-2024 among postgraduate coursework students from all provider types by demographic group
79,SAT_PGR_ALL_2Y_DG,Satisfaction (% agreement) 2023-2024 among postgraduate research students from all provider types by demographic group
80,SAT_UG_UNI_2Y_AREA,Satisfaction (% agreement) 2023-2024 among undergraduates from universities by study area
81,SAT_UG_NUHEI_2Y_AREA,Satisfaction (% agreement) 2023-2024 among undergraduates from non-university higher education institutes (NUHEIs) by study area
82,SUMMARY_ALL_ALL_1Y,"Collection summary among all course levels from all provider types by GOS collection period, 2024"
83,SUMMARY_ALL_ALL_1Y_1P,"Collection summary among all course levels from all provider types by GOS collection period, 2023"
84,SUMMARY_ALL_ALL_1Y_2P,"Collection summary among all course levels from all provider types by GOS collection period, 2022"
85,SUMMARY_ALL_ALL_1Y_3P,"Collection summary among all course levels from all provider types by GOS collection period, 2021"
86,RR_ALL_UNI_1Y_INST,"Response rates Nov 2023, Feb and May 2024 collections among all course levels from universities by institution"
87,RR_ALL_NUHEI_1Y_INST,"Response rates Nov 2023, Feb and May 2024 collections among all course levels from non-university higher education institutes (NUHEIs) by institution"
88,RR_UG_ALL_1Y,"Response rates Nov 2023, Feb and May 2024 collections among undergraduates from all provider types by provider types"
89,RR_PGC_ALL_1Y,"Response rates Nov 2023, Feb and May 2024 collections among postgraduate coursework students from all provider types by provider types"
90,RR_PGR_ALL_1Y,"Response rates Nov 2023, Feb and May 2024 collections among postgraduate research students from all provider types by provider types"
91,CHAR_ALL_ALL_1Y_TYPE,"Respondent characteristics among all course levels and all provider types, 2024"
92,CHAR_ALL_ALL_1Y_DOM_TYPE,"Respondent characteristics among all course levels and all provider types, 2024"
93,CHAR_UG_ALL_1Y_DOM_TYPE,"Respondent characteristics among undergraduates and all provider types, 2024"
94,CHAR_PGC_ALL_1Y_DOM_TYPE,"Respondent characteristics among postgraduate coursework students and all provider types, 2024"
95,CHAR_PGR_ALL_1Y_DOM_TYPE,"Respondent characteristics among postgraduate research students and all provider types, 2024"
96,CHAR_ALL_ALL_1Y_AREA,"Respondent characteristics among all course levels from all provider types by study area 21, 2024"
97,OCC_UG_ALL_1Y_EMPTYPE_E315,"Occupation level among undergraduates and all provider types by employment outcomes (FTE, OE) by gender, 2024"
98,OCC_PGC_ALL_1Y_EMPTYPE_E315,"Occupation level among postgraduate coursework students and all provider types by employment outcomes (FTE, OE) by gender, 2024"
99,OCC_PGR_ALL_1Y_EMPTYPE_E315,"Occupation level among postgraduate research students and all provider types by employment outcomes (FTE, OE) by gender, 2024"
100,OCCO_UG_ALL_1Y_AREA45,"Occupation level, overall employed, 2024, among undergraduates from all provider types by 45 study areas"
101,OCC_UG_UNI_1Y_EMPTYPE_E315,"Occupation level among undergraduates and universities by employment outcomes (FTE, OE) by gender, 2024"
102,OCC_UG_NUHEI_1Y_EMPTYPE_E315,"Occupation level among undergraduates and non-university higher education institutes (NUHEIs) by employment outcomes (FTE, OE) by gender, 2024"
103,OCCO_UG_UNI_1Y_AREA_EMPTYPE,"Occupation level, overall employed, 2024, among undergraduates from universities by study area"
104,OCCO_UG_ALL_1Y_AREA_EMPTYPE,"Occupation level, overall employed, 2024, among undergraduates from all provider types by study area"
105,QUALIMP_UG_ALL_1Y,"Importance of qualification among undergraduates and all provider types by employment outcomes (FTE, OE) 2024"
106,QUALIMP_PGC_ALL_1Y,"Importance of qualification among postgraduate coursework students and all provider types by employment outcomes (FTE, OE) 2024"
107,QUALIMP_PGR_ALL_1Y,"Importance of qualification among postgraduate research students and all provider types by employment outcomes (FTE, OE) 2024"
108,CRSPREP_UG_ALL_1Y,"Extent to which qualification prepared among undergraduates and all provider types by employment outcomes (FTE, OE) 2024"
109,CRSPREP_PGC_ALL_1Y,"Extent to which qualification prepared among postgraduate coursework students and all provider types by employment outcomes (FTE, OE) 2024"
110,CRSPREP_PGR_ALL_1Y,"Extent to which qualification prepared among postgraduate research students and all provider types by employment outcomes (FTE, OE) 2024"
111,SPOQSCL_ALL_ALL_1Y,"Occupation does not fully use skills or education among all course levels and all provider types by employment outcomes (FTE, OE) 2024"
112,HOURS_UG_ALL_3Y,"Employment outcomes (FTE, OE) among undergraduates from all provider types by average actual and usual hours worked per week 2022-2024"
113,HOURS_PGC_ALL_3Y,"Employment outcomes (FTE, OE) among postgraduate coursework students from all provider types by average actual and usual hours worked per week 2022-2024"
114,HOURS_PGR_ALL_3Y,"Employment outcomes (FTE, OE) among postgraduate research students from all provider types by average actual and usual hours worked per week 2022-2024"
115,HOURS_UG_ALL_3Y_PERIOD,"Employment outcomes (FTE, OE) among undergraduates from all provider types by average actual and usual hours worked per week by survey round 2022-2024"
116,HOURS_PGC_ALL_3Y_PERIOD,"Employment outcomes (FTE, OE) among postgraduate coursework students from all provider types by average actual and usual hours worked per week by survey round 2022-2024"
117,HOURS_PGR_ALL_3Y_PERIOD,"Employment outcomes (FTE, OE) among postgraduate research students from all provider types by average actual and usual hours worked per week by survey round 2022-2024"
118,AWAYWORK_UG_ALL_3Y,"Proportion of employed who were away from work (FTE, PTE, OE) among undergraduates from all provider types by year 2022 - 2024"
119,AWAYWORK_PGC_ALL_3Y,"Proportion of employed who were away from work (FTE, PTE, OE) among postgraduate coursework students from all provider types by year 2022 - 2024"
120,AWAYWORK_PGR_ALL_3Y,"Proportion of employed who were away from work (FTE, PTE, OE) among postgraduate research students from all provider types by year 2022 - 2024"
121,AWAYWORK_UG_ALL_3Y_PERIOD,"Proportion of employed who were away from work (FTE, PTE, OE) among undergraduates from all provider types by survey round, 2022-2024"
