Sheet number,Sheet name,Sheet title
79,CHAR_ALL_ALL_1Y_SG,"Demographic group among all course levels and all provider types by respondent characteristics, 2024"
80,CHAR_UG_ALL_1Y_SG,"Demographic group among undergraduates and all provider types by respondent characteristics, 2024"
81,CHAR_PGC_ALL_1Y_SG,"Demographic group among postgraduate coursework graduates and all provider types by respondent characteristics, 2024"
82,CHAR_PGR_ALL_1Y_SG,"Demographic group among postgraduate research graduates and all provider types by respondent characteristics, 2024"
83,FTE_UG_UNI_1Y_INST_FIG,"Proportion domestic employed full-time, 2024, with 90% confidence intervals among undergraduates from universities by institution"
84,FTE_UG_UNI_3YP_INST_FIG,"Proportion domestic employed full-time, 2022-2024, with 90% confidence intervals among undergraduates from universities by institution"
85,FTE_PGC_UNI_1Y_INST_FIG,"Proportion domestic employed full-time, 2024, with 90% confidence intervals among postgraduate coursework graduates from universities by institution"
86,FTE_PGC_UNI_3YP_INST_FIG,"Proportion domestic employed full-time, 2022-2024, with 90% confidence intervals among postgraduate coursework graduates from universities by institution"
87,SAL_UG_UNI_1Y_INST_FIG,"Medium-term domestic median salaries ($), 2024, with 90% confidence intervals among undergraduates from universities by institution"
88,SAL_UG_UNI_3YP_INST_FIG,"Medium-term domestic median salaries ($), 2022-2024, with 90% confidence intervals among undergraduates from universities by institution"
89,SAL_PGC_UNI_1Y_INST_FIG,"Medium-term domestic median salaries ($), 2024, with 90% confidence intervals among postgraduate coursework graduates from universities by institution"
90,SAL_PGC_UNI_3YP_INST_FIG,"Medium-term domestic median salaries ($), 2022-2024, with 90% confidence intervals among postgraduate coursework graduates from universities by institution"
91,FTE_ALL_ALL_1Y_AREA45,"Short-term and medium-term full-time domestic employment outcomes by level of study, 2024, among all course levels from all provider types by 45 study areas"
92,FTE_PGC_UNI_1Y_INST_CI,"Short-term and medium-term full-time domestic employment outcomes, 2024, among postgraduate coursework graduates from universities by institution"
93,FTE_UG_UNI_1Y_INST_CI,"Short-term and medium-term full-time domestic employment outcomes, 2024, among undergraduates from universities by institution"
94,STMT_UG_ALL_1Y,"Domestic employment outcomes among undergraduates from all provider types by short-term and medium-term, 2024"
95,STMT_PGC_ALL_1Y,"Domestic employment outcomes among postgraduate coursework graduates from all provider types by short-term and medium-term, 2024"
96,STMT_PGR_ALL_1Y,"Domestic employment outcomes among postgraduate research graduates from all provider types by short-term and medium-term, 2024"
97,EHIST_UG_ALL_1Y,"Employment history, domestic among undergraduates from all provider types by employment outcomes, 2024"
98,EHIST_PGC_ALL_1Y,"Employment history, domestic among postgraduate coursework graduates from all provider types by employment outcomes, 2024"
99,EHIST_PGR_ALL_1Y,"Employment history, domestic among postgraduate research graduates from all provider types by employment outcomes, 2024"
100,EHIST_UG_ALL_1Y_FTS,"Employment history, domestic among undergraduates from all provider types by full-time study, 2024"
101,STMT_UG_ALL_1Y_FTS,"Domestic employment outcomes among undergraduates from all provider types by full-time study, 2024"
102,FTE_ALL_ALL_1Y_AREA_INT,"Short-term and medium-term full-time international employment outcomes by level of study, 2024, among all course levels from all provider types by study area"
103,FTE_UG_ALL_5Y_HEPTYPE,Short-term and medium-term domestic full-time employment outcomes among all course levels from all provider types by provider types and year
104,FTS_ALL_ALL_1Y_E942,"Short-term and medium-term in further full time study, 2024, among all course levels from all provider types by citizenship indicator"
105,FTS_ALL_ALL_1Y_HEPTYPE,"Short-term and medium-term domestic in further full time study, 2024, among all course levels from all provider types by provider types and course level"
106,FTS_UG_ALL_1Y_AREA,"Short-term and medium-term domestic in further full time study, 2024, among undergraduates from all provider types by study area"
107,FTS_PGC_ALL_1Y_AREA,"Short-term and medium-term domestic in further full time study, 2024, among postgraduate coursework graduates from all provider types by study area"
108,FTS_PGR_ALL_1Y_AREA,"Short-term and medium-term domestic in further full time study, 2024, among postgraduate research graduates from all provider types by study area"
109,FTS_UG_ALL_1Y_BFOE,"Short-term and medium-term domestic in further full time study, 2024, among undergraduates from all provider types by broad field of education"
110,FTS_PGC_ALL_1Y_BFOE,"Short-term and medium-term domestic in further full time study, 2024, among postgraduate coursework graduates from all provider types by broad field of education"
111,FTS_PGR_ALL_1Y_BFOE,"Short-term and medium-term domestic in further full time study, 2024, among postgraduate research graduates from all provider types by broad field of education"
112,FTS_UG_ALL_1Y_BFOE_INT,"Short-term and medium-term international in further full time study, 2024, among undergraduates from all provider types by broad field of education"
